Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer,
"C1, C10, C11, C15, C2, C20, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C38, C4, C41, C43, C47, C5, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C69, C7, C70, C74, C75, C76, C77, C78, C79, C80, C9",0402,53,100nF,
"C12, C13, C14, C16, C17, C21, C37, C39, C71",0805,9,4.7uF,
C18,0402,1,220nF,
"C19, C51, C52",CP_EIA-3216-18_Kemet-A,3,10uF 16V,
"C40, C42, C44, C45",0805,4,10uF,
"C46, C66, C67, C68, C85",0603,5,1uF,
C48,0603,1,100pF,
"C49, C50",0805,2,22uF,
"C72, C73",1206,2,2.2uF,
CARD1,TF-SMD_TF-PUSH,1,~,
"D1, D2, D3",D_SOD-323,3,1N5819WS,
D4,0603,1,RED,
D5,0603,1,WHITE,
E01-2G4M27D1,PE01-ML01DP5,1,DS1023-2*4SF11,
IC1,SOP80P1176X120-54N,1,W9864G6KH-6,
IC2,SOT95P280X145-6N,1,TPS61165DBVR,
IC3,SOIC127P790X216-8L,1,MT25QL128ABA1ESE-0SIT,
IC4,SOT95P280X145-6N,1,USBLC6-2SC6,
J1,AFC01S40FCA00,1,AFC01-S40FCA-00,
J2,AFC07S10ECC00,1,AFC07-S10ECC-00,
J4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,B2B-PH-K-S,
J6,GCT_USB4085-GF-A_REVB,1,USB4085-GF-A,
J7,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,Conn_01x05,
"JP1, JP10, JP3, JP8, JP9",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,5,NO,
"JP2, JP4, JP5, JP6",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,4,NC,
L1,IND_VLS3012HBX-100M,1,1.33A 10uH,
"L2, L3",0805,2,GZ2012D601TF,
L4,L_Cenker_CKCS4018,1,1.8A 1uH,
"Q1, Q2, Q4",SOT-23,3,AO3400A,
Q3,SOT-23,1,SI2301CDS-T1-GE3,
"R10, R13, R14, R15, R47, R48, R57, R69, R7, R70, R71, R72, R79, R8, R84, R85, R86, R91, R93, R94",0402,20,10kΩ,
R11,0603,1,1Ω,
R12,0603,1,2Ω,
"R16, R17, R18, R19, R45, R54, R58, R59, R61, R68, R80, R81, R82, R83, R87, R88, R9",0402,17,0Ω,
"R20, R23, R25, R27, R29, R31, R33, R35, R37, R39, R40, R41, R42, R43, R44, R46, R56, R74, R76",0402,19,47kΩ,
"R21, R22, R24, R26, R28, R30, R32, R34, R36, R38, R51, R52, R73, R89, R90",0402,15,5.1kΩ,
"R49, R64",0603,2,300kΩ,
"R53, R60, R62, R66",0402,4,100kΩ,
"R63, R75",0402,2,330Ω,
"R65, R77, R78",0402,3,1kΩ,
R67,0402,1,634kΩ,
RV1,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,LeftX,
RV2,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,LeftY,
RV3,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,RightX,
RV4,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,RightY,
"S1, S2",SKRTLAE010,2,SKRTLAE010,
"SW1, SW2, SW3, SW4, SW5, SW6, SW8",SW_TS-1088-AR02016,7,Button SPST SMD Tactile Switch,
SW7,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,SW_SPDT_MSM,
SW9,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,RotaryEncoder_Switch,
U1,LQFP-144_1_STM,1,STM32H743ZIT6TR,
U3,QFN-10_2MMx2MM_MNP-L,1,MP2667GG-0000-Z,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
U5,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,TPS61252DSG,
U6,SOP65P640X120-16N,1,PCA9554APW,
Y1,Q13FC13500004-32.768KHZ-4-T,1,32.768KHZ,
Y2,X322525MOB4SI 25MHz,1,X322525MOB4SI-25MHz,
