Designator,Mid X,Mid Y,Rotation,Layer
BZ1,13.2422,48.9964,90.0,top
C1,72.2098,50.9442,180.0,top
C10,43.618,7.8992,180.0,top
C11,71.9305,10.795,0.0,top
C12,43.618,9.3992,180.0,top
C13,49.488,7.823,0.0,top
C14,27.35,13.325,90.0,top
C15,25.75,12.535,90.0,top
C16,34.056,12.075,180.0,top
C17,34.056,14.107,180.0,top
C18,30.701,17.05,0.0,top
C19,42.7,69.925,0.0,top
C2,71.8262,49.1662,180.0,top
C20,43.625,73.625,180.0,top
C21,43.1025,72.075,180.0,top
C22,30.8838,50.5088,180.0,top
C23,9.73,71.25,180.0,top
C24,9.73,62.2,180.0,top
C25,91.32,71.3,0.0,top
C26,91.32,62.25,0.0,top
C27,90.7884,12.3534,270.0,top
C28,90.65,19.5162,270.0,top
C29,90.8,26.6884,270.0,top
C3,72.2098,46.6188,180.0,top
C30,90.85,33.87,270.0,top
C31,66.5592,89.4332,0.0,top
C32,19.5668,78.9952,90.0,top
C33,19.5668,71.9126,90.0,top
C34,19.5668,64.7712,90.0,top
C35,83.9588,89.479,180.0,top
C36,88.9188,89.479,0.0,top
C37,6.2525,17.2751,180.0,top
C38,7.4525,12.6851,270.0,top
C39,10.682,19.681,0.0,top
C4,72.846,44.2188,180.0,top
C40,12.175,85.694,180.0,top
C41,10.225,21.181,0.0,top
C42,12.669,11.062,270.0,top
C43,12.645,87.494,180.0,top
C44,20.275,23.5,0.0,top
C45,4.3522,29.9972,270.0,top
C46,5.7318,23.325,90.0,top
C47,7.3782,25.1916,180.0,top
C48,25.125,27.85,90.0,top
C49,22.925,24.6,270.0,top
C5,72.846,41.8188,180.0,top
C50,24.925,24.6,270.0,top
C51,14.8575,32.4,0.0,top
C52,14.85,34.7,0.0,top
C53,16.27,30.8,180.0,top
C54,16.25,36.3,180.0,top
C55,63.6246,37.2028,270.0,top
C56,64.6914,43.5274,0.0,top
C57,58.951,50.9188,0.0,top
C58,52.347,51.5792,90.0,top
C59,41.72,50.5124,180.0,top
C6,72.846,40.2188,180.0,top
C60,47.493,51.5792,90.0,top
C61,52.9058,25.5188,180.0,top
C62,47.9274,25.5188,180.0,top
C63,38.123,41.7748,90.0,top
C64,38.123,29.7352,90.0,top
C65,60.18,25.8744,0.0,top
C66,65.1232,29.2018,270.0,top
C67,65.936,45.0768,0.0,top
C68,64.6282,48.6582,0.0,top
C69,63.8532,44.9752,270.0,top
C7,73.354,30.2988,90.0,top
C70,64.3332,47.3882,0.0,top
C71,47.9274,23.9694,180.0,top
C72,35.8688,28.4688,270.0,top
C73,41.7298,52.7222,180.0,top
C74,65.3772,50.9442,0.0,top
C75,65.3772,49.9242,0.0,top
C76,76.726,87.3924,0.0,top
C77,79.686,87.3924,180.0,top
C78,72.726,89.4244,180.0,top
C79,38.1134,25.6284,180.0,top
C80,72.1924,63.7422,270.0,top
C85,70.8924,63.4472,270.0,top
C86,88.34,46.6188,0.0,top
C87,88.34,41.8188,0.0,top
C88,14.36,5.11,180.0,top
C89,15.875,7.8,180.0,top
C9,49.488,9.3216,0.0,top
CARD1,28.0,90.8865,180.0,top
D1,33.956,10.079,180.0,top
D2,19.262,49.0189,90.0,top
D3,4.0554,23.6,90.0,top
D4,52.2625,64.8,0.0,top
D5,52.2625,59.6,180.0,top
FID1,95.0,80.0,0.0,top
FID2,5.0,79.0,0.0,top
FID3,88.0,5.0,0.0,top
IC1,80.593,40.2188,0.0,top
IC2,30.221,14.253,90.0,top
IC3,33.2688,45.5688,90.0,top
IC4,10.873,90.505,0.0,top
J1,63.1505,4.225,0.0,top
J11,40.4,4.65,0.0,top
J4,17.225,12.012,0.0,top
J6,11.0,96.3345,180.0,top
J7,30.1586,24.8288,270.0,top
L1,30.205,10.075,0.0,top
L2,25.89,10.645,0.0,top
L3,24.31,14.245,270.0,top
L4,16.025,24.85,90.0,top
Q1,7.075,28.7027,270.0,top
Q2,8.165,34.0775,90.0,top
Q3,11.4722,26.69,180.0,top
Q4,19.262,52.7556,90.0,top
R10,29.711,6.375,0.0,top
R100,13.775,3.19,270.0,top
R101,14.34,6.16,0.0,top
R102,20.15,5.236,270.0,top
R103,12.375,6.875,0.0,top
R11,28.2,17.3,180.0,top
R12,25.9,16.475,270.0,top
R13,49.89,73.586,90.0,top
R14,54.97,73.586,90.0,top
R15,30.8538,40.4288,180.0,top
R16,9.7,70.15,180.0,top
R17,9.7,61.1,180.0,top
R18,91.35,70.15,0.0,top
R19,91.35,61.1,0.0,top
R20,91.2984,14.0,180.0,top
R21,89.75,13.3434,270.0,top
R22,89.65,20.5062,270.0,top
R23,91.16,21.2,180.0,top
R24,89.8,27.6784,270.0,top
R25,91.31,28.35,180.0,top
R26,90.85,37.125,270.0,top
R27,91.36,35.575,180.0,top
R28,65.5692,88.3664,0.0,top
R29,64.8804,89.9432,270.0,top
R30,20.6336,78.0052,90.0,top
R31,19.0568,77.3164,0.0,top
R32,20.6336,70.9226,90.0,top
R33,19.0568,70.2338,0.0,top
R34,20.6336,63.7812,90.0,top
R35,19.0568,63.0924,0.0,top
R36,84.9488,88.4122,180.0,top
R37,85.626,89.989,270.0,top
R38,87.9288,88.4122,0.0,top
R39,87.2516,89.989,270.0,top
R40,24.9516,78.475467,270.0,top
R41,24.968,81.358,270.0,top
R42,36.26,80.677467,180.0,top
R43,36.26,79.5268,180.0,top
R44,36.26,78.376133,180.0,top
R45,36.26,81.828133,180.0,top
R46,36.26,82.9788,180.0,top
R47,6.0525,15.1751,90.0,top
R48,7.0525,15.1751,270.0,top
R49,5.3275,12.4782,0.0,top
R51,6.439,91.905,270.0,top
R52,7.539,91.915,270.0,top
R53,7.4082,24.1,180.0,top
R54,8.675,30.25,180.0,top
R56,8.605,36.54,180.0,top
R57,7.4082,22.55,0.0,top
R58,8.675,31.45,180.0,top
R59,19.725,27.65,0.0,top
R60,22.475,27.25,90.0,top
R61,63.8532,50.4342,270.0,top
R62,3.1584,27.254,270.0,top
R63,10.565,35.525,270.0,top
R64,4.625,26.7652,90.0,top
R65,5.925,25.7652,90.0,top
R66,22.475,29.25,90.0,top
R67,23.825,27.25,90.0,top
R68,64.3632,46.3722,180.0,top
R69,79.716,89.4244,180.0,top
R7,71.9605,11.995,0.0,top
R70,76.696,89.4244,0.0,top
R71,79.716,88.4134,180.0,top
R72,76.696,88.4134,0.0,top
R73,72.696,87.3924,0.0,top
R74,72.696,88.4134,0.0,top
R75,20.722,55.5242,180.0,top
R76,19.702,56.6418,180.0,top
R77,54.904,64.8,180.0,top
R78,54.975,60.1,270.0,top
R79,38.0834,24.5616,0.0,top
R8,39.7598,8.2548,180.0,top
